,contact_id,customer_date,contract_length
39987,478450202,2023-01-24,12
40013,477009104,2023-01-24,6
40276,485711601,2023-02-08,6
40325,485936351,2023-02-08,24
40470,482029621,2023-02-03,6
40494,481517960,2023-02-01,12
40685,477705578,2023-01-30,12
40791,485084349,2023-02-15,6
40800,484458074,2023-02-06,6
40803,486091551,2023-02-06,9
40813,485113207,2023-02-16,6
40820,483800206,2023-02-10,6
40822,486604301,2023-02-22,6
40859,487375397,2023-02-13,6
40868,487361101,2023-02-21,18
40878,485811701,2023-02-08,12
40887,486183752,2023-02-10,9
40945,478342140,2023-01-26,6
41032,477865513,2023-02-24,12
41082,479051363,2023-01-25,6
41114,478978277,2023-02-13,6
41120,482575322,2023-02-27,6
41149,480995801,2023-02-06,6
41295,484557801,2023-02-08,12
41300,479070936,2023-01-28,12
41319,486089879,2023-02-11,12
41512,483253146,2023-02-07,6
41639,481360107,2023-01-30,6
41873,481905822,2023-02-06,9
41877,483832254,2023-03-05,6
41966,477667340,2023-01-30,24
41989,476837451,2023-01-31,24
42003,477696139,2023-02-04,6
42017,477290366,2023-02-03,6
42024,480363340,2023-02-08,18
42044,480213001,2023-01-31,18
42057,479898981,2023-02-10,12
42064,480688101,2023-01-28,6
42098,480822978,2023-02-05,6
42099,479073851,2023-01-31,6
42240,479614407,2023-02-08,6
42259,479734998,2023-01-28,12
42416,478125001,2023-01-26,6
42468,479720169,2023-01-30,6
42514,477280575,2023-02-10,6
42568,483130183,2023-02-07,9
42683,477865782,2023-01-31,12
42702,478891601,2023-03-01,6
42811,486570567,2023-02-24,6
42832,486167690,2023-02-13,6
42844,486819268,2023-02-08,18
42866,483267064,2023-02-09,6
42871,483837554,2023-02-08,12
42902,486141513,2023-03-06,12
42976,479713367,2023-01-26,12
43048,481944538,2023-02-04,12
43077,483910731,2023-02-06,24
43114,477750494,2023-02-01,6
43130,479394103,2023-02-06,6
43152,478303173,2023-01-30,6
43168,477311785,2023-01-30,6
43179,479655759,2023-01-27,6
43215,476849568,2023-01-26,12
43233,481900602,2023-02-01,6
43243,482053282,2023-02-08,6
43263,479493151,2023-01-31,6
43265,482335151,2023-02-07,6
43373,483347072,2023-02-23,3
43386,485113337,2023-02-11,12
43388,487395026,2023-02-21,12
43392,486915055,2023-02-23,6
43393,487012151,2023-02-14,6
43496,479872901,2023-02-06,12
43733,480357141,2023-02-09,6
43820,481359846,2023-02-06,24
43947,481477773,2023-02-12,6
44007,477768365,2023-01-31,12
44024,479614606,2023-02-01,9
44087,478947779,2023-02-03,6
44209,480372793,2023-02-07,6
44258,479745721,2023-02-11,6
44322,479627066,2023-01-30,18
44333,479069137,2023-01-27,24
44370,481333695,2023-02-01,9
44436,482979303,2023-02-13,12
44445,481919820,2023-02-01,24
44530,486015258,2023-02-10,12
44558,482430154,2023-02-01,12
44560,477876201,2023-01-26,24
44572,477794568,2023-01-31,24
44574,480393039,2023-02-01,18
44653,477290171,2023-01-31,12
44665,478349609,2023-02-01,18
44682,479059432,2023-01-30,6
44698,477860765,2023-02-01,6
44762,477801058,2023-02-07,6
44842,481313746,2023-02-16,6
44898,482556492,2023-02-01,6
44918,480927214,2023-02-15,18
44931,482602267,2023-02-15,12
44932,483254098,2023-02-09,6
44939,483382595,2023-02-13,12
44952,481443691,2023-02-16,3
44994,478565702,2023-02-01,6
45063,477947705,2023-02-03,6
45066,483068900,2023-02-02,6
45148,485982903,2023-02-08,6
45170,488249053,2023-02-10,9
45271,477336282,2023-01-30,18
45284,478606106,2023-01-30,6
45307,488949802,2023-02-16,6
45311,486245875,2023-02-14,6
45313,488236423,2023-02-16,12
45319,488357903,2023-02-14,3
45347,485083092,2023-02-12,18
45382,486585054,2023-02-14,12
45392,478956530,2023-02-14,6
45415,485712120,2023-02-26,24
45477,477686438,2023-01-31,9
45672,479199302,2023-01-31,6
45772,483007051,2023-02-03,6
45793,483692575,2023-02-07,18
45850,488084725,2023-02-10,6
45888,489972254,2023-02-16,6
45964,481338534,2023-01-30,6
46021,478206464,2023-01-30,6
46024,481947439,2023-02-02,6
46029,477748076,2023-02-07,6
46053,480934202,2023-01-31,6
46219,479620100,2023-01-27,6
46235,479773273,2023-01-30,6
46256,479777851,2023-01-27,6
46258,477269356,2023-01-27,6
46628,479954322,2023-02-04,6
46635,484008264,2023-02-06,6
46662,482542809,2023-02-07,6
46675,477269725,2023-02-03,6
46681,484377379,2023-02-13,6
46705,483962645,2023-02-09,12
46711,484480120,2023-02-05,6
46721,482558411,2023-02-03,6
46781,483235600,2023-02-09,6
46910,490522962,2023-02-13,12
46981,485304751,2023-02-08,6
46994,487414002,2023-02-15,12
47018,486178286,2023-02-10,24
47051,477243814,2023-01-27,6
47055,480332651,2023-02-10,6
47075,479726081,2023-02-01,6
47112,481444017,2023-02-08,6
47153,481964711,2023-02-17,6
47183,479034953,2023-01-31,6
47201,481728961,2023-02-28,6
47215,481335535,2023-02-05,6
47304,488877150,2023-02-23,
47322,478539811,2023-02-11,6
47336,488267777,2023-02-13,9
47337,488840492,2023-02-12,6
47408,485598252,2023-02-13,12
47438,490512779,2023-02-15,6
47450,480430105,2023-02-07,12
47490,485672594,2023-02-20,6
47582,481302414,2023-01-30,6
47592,481321557,2023-02-10,6
47615,481873013,2023-01-31,6
47632,481387857,2023-02-24,12
47638,481889454,2023-02-13,6
47660,490053277,2023-02-13,12
47794,482598694,2023-02-06,12
48000,482107851,2023-02-08,18
48015,482530815,2023-02-08,6
48079,478494912,2023-02-06,6
48119,477865767,2023-01-31,
48298,481796005,2023-02-02,6
48301,476769502,2023-02-01,12
48302,483019172,2023-02-06,18
48398,481926257,2023-02-13,12
48439,480405463,2023-02-10,6
48490,485643135,2023-02-15,
48520,485214791,2023-02-13,12
48530,485726707,2023-02-08,9
48532,486194676,2023-02-08,12
48741,479137859,2023-02-01,12
48769,481395372,2023-02-03,12
48788,482417096,2023-01-31,6
48802,482499674,2023-02-08,9
48827,488846719,2023-02-13,18
48831,478498695,2023-02-13,12
48840,487382076,2023-02-13,6
48918,478274553,2023-02-09,6
48947,483207343,2023-02-09,6
48951,483236565,2023-02-21,12
48977,483269203,2023-02-15,12
49068,429869809,2023-02-10,6
49077,484642811,2023-02-06,18
49089,485170356,2023-02-08,12
49094,485968392,2023-02-10,6
49164,489148956,2023-02-15,9
49201,490073612,2023-02-28,12
49229,491286706,2023-02-17,3
49269,485264201,2023-02-20,12
49282,484456524,2023-03-01,6
49288,482618720,2023-02-06,12
49485,482522655,2023-02-21,6
49487,482485387,2023-02-10,6
49490,481974057,2023-02-02,6
49531,481342467,2023-02-06,6
49543,478487559,2023-01-31,12
49642,480463105,2023-02-03,6
49683,485132612,2023-02-16,6
49734,491171328,2023-03-10,6
49766,488298703,2023-02-18,12
49783,490660509,2023-02-16,9
49842,484428652,2023-02-06,9
49968,484285901,2023-02-09,6
49985,483370155,2023-02-07,18
50045,487793652,2023-02-27,9
50057,488826451,2023-02-20,9
50062,490666006,2023-02-20,12
50073,481487980,2023-01-30,24
50164,487531085,2023-02-16,6
50251,486266131,2023-02-15,6
50482,481918667,2023-02-02,9
50493,483981955,2023-02-16,6
50500,477745164,2023-02-06,6
50575,483187009,2023-02-03,6
50584,481960249,2023-02-16,12
50600,483871812,2023-02-06,6
50621,484357441,2023-02-04,18
50652,484469154,2023-02-08,24
50928,484080301,2023-02-13,9
50946,483221356,2023-02-08,6
50966,485677188,2023-02-21,6
50977,484437610,2023-02-13,6
51042,487528197,2023-02-10,3
51048,488948501,2023-02-13,6
51054,487566446,2023-02-15,6
51066,486475501,2023-02-12,12
51097,477044601,2023-02-02,6
51146,483778743,2023-02-07,6
51171,482041151,2023-02-06,6
51178,482585552,2023-02-14,12
51208,481346013,2023-02-06,6
51215,484571421,2023-02-28,12
51222,483439701,2023-02-20,12
51454,490488886,2023-02-22,12
51470,480857357,2023-02-23,
51513,481324316,2023-02-07,6
51529,482438101,2023-02-03,6
51530,482438101,2023-02-03,6
51543,483141097,2023-02-02,24
51555,483647561,2023-02-16,6
51776,490619507,2023-02-28,6
51794,491543851,2023-02-23,6
51812,491284101,2023-02-16,3
51815,489975436,2023-02-21,12
51863,483918933,2023-02-07,6
51874,487385351,2023-02-10,6
51994,490095827,2023-02-20,6
52004,486802592,2023-02-17,6
52020,490532075,2023-02-13,12
52117,483284018,2023-02-03,6
52151,481980805,2023-02-08,12
52216,485570551,2023-02-08,6
52225,482355693,2023-02-08,12
52252,484552054,2023-02-10,6
52264,485718268,2023-02-06,18
52275,485690202,2023-02-16,6
52287,483242622,2023-02-14,6
52327,491308401,2023-02-17,6
52359,485610056,2023-02-17,9
52422,491191216,2023-02-17,12
52750,490612848,2023-02-16,12
52777,477260363,2023-02-23,6
52842,490151952,2023-02-21,3
52870,486300453,2023-02-13,6
53329,486155386,2023-02-09,6
53358,485618822,2023-02-09,12
53429,486102704,2023-02-09,6
53529,491250457,2023-02-14,9
53558,491381861,2023-02-22,6
53597,485084041,2023-02-14,12
53621,483125454,2023-02-11,18
53626,479668384,2023-02-06,6
53746,486252520,2023-03-06,6
53764,482592888,2023-02-07,12
53788,487033459,2023-02-24,6
53817,486042951,2023-02-10,24
54169,483977059,2023-02-15,12
54178,480860351,2023-02-06,12
54180,483179320,2023-02-23,12
54216,484607501,2023-02-10,6
54259,488306065,2023-02-28,6
54268,488419261,2023-02-27,12
54288,476778311,2023-01-23,6
54346,481411252,2023-02-16,6
54355,486267798,2023-02-28,9
54457,486346001,2023-02-22,
54485,480313453,2023-01-31,6
54496,483252116,2023-02-22,18
54559,486070054,2023-02-16,12
54561,486882869,2023-02-13,6
54568,484404399,2023-02-09,6
54827,486688064,2023-02-07,12
54993,486024449,2023-02-10,6
55097,486577659,2023-02-09,36
55103,487536453,2023-02-21,12
55110,484582113,2023-02-06,6
55130,487823653,2023-02-25,24
55148,485614611,2023-02-17,18
55202,491828951,2023-02-16,18
55270,485651727,2023-02-06,12
55280,485636263,2023-02-08,12
55303,482384006,2023-02-10,6
55326,485707454,2023-02-09,18
55390,486774517,2023-02-15,6
55437,486853709,2023-02-14,12
55484,489023934,2023-02-17,6
55494,488350815,2023-02-27,9
55507,487790380,2023-03-10,6
55518,485677999,2023-02-09,9
55537,479631951,2023-02-12,6
55570,485651429,2023-02-16,9
55599,492455611,2023-02-20,6
55619,485932251,2023-02-20,6
55622,493999402,2023-02-28,12
55673,486835976,2023-02-16,6
55684,482102451,2023-02-16,6
55749,485060201,2023-02-08,6
55922,488958146,2023-02-14,9
55927,487490847,2023-02-17,12
55999,488018105,2023-02-20,12
56114,488854877,2023-02-14,9
56124,486898314,2023-02-14,6
56134,480883401,2023-02-01,6
56135,480883401,2023-02-01,6
56253,488959918,2023-02-17,3
56341,494290197,2023-02-21,12
56545,483116774,2023-02-25,6
56838,485093387,2023-02-12,12
56854,479055220,2023-02-11,6
56857,489517853,2023-02-24,18
56861,489500865,2023-02-16,3
56869,484608863,2023-02-13,12
57015,488958701,2023-02-15,12
57037,481323495,2023-03-01,18
57041,491753508,2023-02-17,12
57050,490777651,2023-02-21,12
57107,487011951,2023-02-23,6
57110,480819889,2023-01-31,6
57150,484717951,2023-02-11,6
57174,493895601,2023-02-21,3
57179,492410018,2023-02-18,3
57186,483139005,2023-02-07,12
57190,492705098,2023-02-18,3
57319,486935889,2023-02-10,9
57334,487587453,2023-02-20,12
57361,492438143,2023-02-20,12
57391,493446652,2023-02-22,3
57514,480269869,2023-01-31,6
57529,476776670,2023-02-13,6
57538,486113332,2023-02-10,6
57559,487667658,2023-02-23,9
57699,494930001,2023-03-04,12
57708,491881927,2023-02-21,12
57738,495296504,2023-02-22,9
58357,485080396,2023-02-09,36
58375,485180601,2023-02-23,18
58387,485933204,2023-02-13,6
58421,488523551,2023-02-14,12
58524,481841049,2023-02-06,9
58594,486936254,2023-02-22,18
58652,487316301,2023-02-10,6
58838,494782989,2023-02-22,12
58853,481975914,2023-02-16,12
58890,492566570,2023-02-16,6
58895,487027851,2023-02-21,12
59000,489113658,2023-02-19,12
59003,488882989,2023-02-20,12
59141,490087505,2023-03-09,
59157,482430248,2023-02-17,12
59169,490039953,2023-02-15,18
59261,495429851,2023-03-01,12
59266,493986161,2023-02-28,6
59297,496049807,2023-02-22,12
59300,496005014,2023-02-24,12
59350,488870464,2023-02-22,9
59484,487011206,2023-02-16,3
59492,486164036,2023-02-13,9
59549,493296787,2023-02-24,6
59569,494005800,2023-02-25,12
59570,484536776,2023-02-17,6
59578,489980312,2023-02-21,6
59682,483827607,2023-02-13,6
59765,486303064,2023-02-15,6
59792,487411306,2023-02-15,18
59796,488902867,2023-02-16,6
59870,494348451,2023-03-08,6
60007,482409812,2023-03-11,12
60190,495641263,2023-02-22,18
60227,493862554,2023-03-06,18
60384,484722102,2023-02-06,12
60388,489491732,2023-02-12,6
60497,481923065,2023-02-02,12
60757,487506269,2023-02-18,3
60899,486840238,2023-02-15,12
60915,489673508,2023-02-15,9
60980,492556905,2023-03-01,6
61015,491922039,2023-02-21,6
61028,486782447,2023-02-20,3
61352,488553652,2023-02-28,12
61380,490063365,2023-02-15,12
61392,489505497,2023-02-28,6
61408,487419075,2023-02-13,6
61423,491453829,2023-03-02,12
61696,489524184,2023-02-28,6
61743,490454953,2023-02-22,12
61751,478577000,2023-02-17,6
61752,490433657,2023-02-13,18
61839,477260773,2023-01-30,12
61856,490521271,2023-02-22,6
62044,486196815,2023-02-13,12
62047,488421051,2023-02-15,6
62088,478407101,2023-02-07,6
62197,491316877,2023-02-16,12
62198,491219652,2023-02-18,6
62200,491430951,2023-03-07,6
62203,484620302,2023-02-17,6
62651,493824552,2023-02-21,6
62652,494276702,2023-02-25,6
62655,492451704,2023-03-01,6
62664,492364870,2023-03-01,12
62669,494335560,2023-02-26,6
62670,490664156,2023-02-20,3
62690,490103826,2023-02-22,3
62733,490391052,2023-02-16,6
62839,495932701,2023-02-22,12
62960,494358505,2023-02-27,12
62993,494310816,2023-02-24,6
63079,491129909,2023-02-22,3
63080,481843059,2023-01-30,6
63274,491323260,2023-02-21,9
63289,491033628,2023-02-17,12
63291,486127033,2023-02-17,12
63309,490676851,2023-02-16,6
63324,489981837,2023-02-17,6
63340,486093813,2023-02-15,6
63418,486226436,2023-02-23,6
63445,491315502,2023-02-22,18
63461,490105143,2023-02-20,12
63464,491293170,2023-02-15,18
63768,491404806,2023-02-15,6
63799,491107203,2023-02-15,24
63818,483350760,2023-02-15,12
63991,489958958,2023-02-22,
64416,493149048,2023-02-24,3
64548,487023554,2023-02-16,
64559,489576189,2023-02-14,12
64673,488808664,2023-02-21,12
64675,494503651,2023-02-24,18
65127,494791624,2023-02-21,3
65283,492627463,2023-02-21,9
65592,491324759,2023-02-20,12
65950,491335973,2023-02-20,12
65954,492554132,2023-02-22,12
65989,491787059,2023-03-02,12
66103,488158364,2023-02-15,6
66120,490598675,2023-02-16,6
66146,489068429,2023-02-14,12
66164,485663559,2023-02-08,12
66230,495012551,2023-02-27,6
66237,496048327,2023-02-24,6
66270,497346218,2023-02-27,6
66315,492404435,2023-02-22,18
66348,492064070,2023-02-24,6
66455,491292972,2023-02-15,12
66493,484445521,2023-02-16,6
66536,491266482,2023-02-20,12
66561,490619527,2023-02-15,6
66568,479114076,2023-02-19,6
66581,489492142,2023-02-15,18
66642,491837757,2023-02-16,6
66645,483126924,2023-02-21,12
66664,488180013,2023-02-09,12
67066,491864860,2023-02-16,12
67082,490451251,2023-02-24,6
67093,492766251,2023-02-21,12
67639,490668727,2023-02-23,6
67642,491877614,2023-02-17,24
67651,492487246,2023-02-17,6
67676,489581501,2023-02-28,6
67689,493780669,2023-02-24,6
67692,490797551,2023-02-27,6
67701,494300502,2023-02-20,12
67795,492352501,2023-02-21,12
67804,480274062,2023-02-17,12
67805,487973654,2023-02-13,24
67812,483127875,2023-02-02,6
67835,491291089,2023-02-17,6
67955,494359813,2023-02-22,24
67966,493152101,2023-03-02,12
67994,493817578,2023-02-23,6
68000,494809640,2023-02-24,6
68179,489996151,2023-02-19,6
68550,490459551,2023-02-20,12
68582,490643624,2023-03-12,12
68592,492274601,2023-03-02,24
68611,484402125,2023-02-17,6
68739,488150309,2023-02-20,6
68777,481927275,2023-02-20,9
68779,493772733,2023-02-28,6
68869,491978851,2023-02-25,12
68870,492345651,2023-02-20,12
68923,492466610,2023-02-21,3
68984,477852254,2023-02-01,12
68991,494971473,2023-02-28,3
68996,486203389,2023-03-05,6
68999,484412083,2023-02-22,9
69025,485091747,2023-02-10,6
69034,494307151,2023-02-24,9
69035,491040701,2023-02-21,6
69065,493133178,2023-02-21,6
69079,495008911,2023-02-21,12
69083,493365503,2023-02-25,3
69094,494328368,2023-02-21,6
69157,493197301,2023-02-20,12
69179,490600098,2023-02-22,9
69214,492657963,2023-02-20,12
69320,486897237,2023-02-20,6
69338,494791980,2023-02-21,24
69393,490567411,2023-02-20,6
69411,493169919,2023-02-18,3
69449,494297643,2023-02-22,12
69455,489052539,2023-02-21,12
69561,494339859,2023-02-24,6
69616,488284355,2023-02-20,6
69679,494401372,2023-03-03,9
69736,494835919,2023-02-21,6
69989,497204474,2023-03-01,12
70006,498048423,2023-03-10,6
70007,491796726,2023-03-01,9
70110,498812393,2023-03-02,9
70133,498803072,2023-03-13,6
70136,498852803,2023-02-28,12
70396,491144213,2023-03-04,6
70421,488341654,2023-03-01,9
70424,490040808,2023-03-01,12
70671,489975051,2023-03-06,6
70702,498945061,2023-03-04,24
70813,498459915,2023-03-06,12
70929,498341949,2023-02-27,12
70976,501300757,2023-03-13,3
71036,500810946,2023-03-08,12
71043,494893099,2023-02-24,6
71077,501270752,2023-03-07,12
71250,496103501,2023-03-06,6
71297,502325987,2023-03-07,12
71302,501397022,2023-03-09,6
71309,502353210,2023-03-08,12
71386,503445001,2023-03-13,12
71853,502340369,2023-03-08,12
71927,501528901,2023-03-10,6
71935,499462704,2023-03-07,9
72013,502104508,2023-03-14,9
72059,502445433,2023-03-09,3
72238,505355493,2023-03-14,3
72271,505570759,2023-03-11,3
72402,500280508,2023-03-08,6
72404,504086870,2023-03-13,9
72509,507135114,2023-03-14,12
72544,504274105,2023-03-14,9
73033,477743139,2023-01-25,12
73054,478405230,2023-01-31,6
73633,483120239,2023-02-07,6
73681,478468498,2023-02-01,6
73737,478117051,2023-01-30,6
73765,482115901,2023-02-02,6
73775,483758122,2023-02-07,6
73786,483260005,2023-02-03,12
73795,483736598,2023-02-06,12
73853,482016962,2023-02-06,6
73905,483228148,2023-02-07,9
73930,482702801,2023-02-10,6
74009,482501422,2023-02-07,9
74022,485600851,2023-02-08,18
74063,496037801,2023-02-23,12
74188,487510201,2023-02-27,6
74487,497268391,2023-03-04,12
74567,483139155,2023-03-07,6
74617,497297620,2023-02-27,9
74625,488848635,2023-03-03,12
74641,497808901,2023-03-07,18
74664,486938058,2023-03-08,12
74906,491920809,2023-02-28,12
74925,491337429,2023-02-28,12
74930,498995501,2023-03-02,9
74951,495318001,2023-02-28,9
74960,498687906,2023-02-28,6
74971,498820610,2023-03-02,12
74973,494801056,2023-03-01,6
74998,496834701,2023-03-09,12
75006,499903322,2023-03-03,9
75044,496789559,2023-03-02,6
75059,499497058,2023-03-03,6
75075,498936046,2023-03-06,6
75093,489064657,2023-03-01,12
75107,496795449,2023-03-02,6
75171,498824336,2023-03-06,9
75189,496119920,2023-03-03,9
75576,494289272,2023-03-03,6
75631,499548201,2023-03-09,12
75678,497562602,2023-02-25,3
75687,499260202,2023-03-01,24
75783,500631303,2023-03-07,12
75814,498889395,2023-03-07,6
75836,477722835,2023-03-13,6
75874,500581208,2023-03-12,12
75998,498433105,2023-03-07,12
76014,500013521,2023-03-01,18
76021,502834822,2023-03-10,6
76143,477851234,2023-02-02,6
76145,502880201,2023-03-08,18
76163,503608234,2023-03-08,6
76585,498850459,2023-03-10,12
76623,503606484,2023-03-10,12
76668,501506463,2023-03-09,6
76718,501852519,2023-03-14,3
76723,497195053,2023-02-28,6
76753,503410035,2023-03-09,3
76759,498927292,2023-03-09,3
76770,503371255,2023-03-09,12
76928,505995817,2023-03-13,3
77059,507098859,2023-03-14,6
77078,490075004,2023-03-14,6
77548,476779051,2023-02-07,6
77615,478291916,2023-01-29,6
77777,477698377,2023-02-17,9
77807,478943468,2023-01-25,6
77814,478384235,2023-01-25,12
77848,479019664,2023-01-31,6
77997,479799100,2023-01-28,6
78041,477884751,2023-01-30,6
78050,479208751,2023-02-06,6
78074,481905578,2023-01-30,6
78105,480851408,2023-02-01,6
78106,481852212,2023-02-02,24
78154,482449001,2023-01-31,6
78285,483188235,2023-02-06,6
78295,481322497,2023-02-03,6
78299,483897512,2023-02-06,18
78313,483699313,2023-02-09,6
78512,495812951,2023-02-23,12
78529,495632208,2023-03-02,6
78665,495325523,2023-03-03,3
78702,496645555,2023-02-23,12
78716,494906771,2023-03-08,6
78761,496123224,2023-03-06,12
78762,496100060,2023-02-23,6
78906,494288067,2023-02-23,3
78922,483978216,2023-02-06,12
78935,496819551,2023-02-24,12
78964,491562801,2023-03-03,18
78989,497826973,2023-03-06,9
78991,497831227,2023-02-28,3
79012,497807912,2023-03-03,12
79016,497971612,2023-02-27,12
79043,497200823,2023-02-26,6
79299,483239833,2023-03-01,12
79547,498965381,2023-03-03,24
79559,498930757,2023-03-06,12
79590,498918865,2023-03-04,6
79649,491247071,2023-02-28,6
79673,486094874,2023-02-08,9
79716,499475871,2023-03-07,3
79819,488036479,2023-03-08,6
79835,499221501,2023-03-02,6
79842,486986362,2023-03-01,12
79895,480603707,2023-01-28,12
79926,499995504,2023-03-03,24
79944,494604251,2023-03-02,9
80214,498962953,2023-03-03,6
80232,497827471,2023-03-03,9
80236,497090401,2023-03-03,6
80354,501460753,2023-03-13,6
80488,498809509,2023-03-07,24
80489,502002398,2023-03-13,6
80493,477766602,2023-02-18,6
80501,502744751,2023-03-09,9
80547,503106401,2023-03-07,9
80565,503510205,2023-03-08,18
80569,502981412,2023-03-07,12
80570,503397106,2023-03-14,6
80582,498798346,2023-03-10,9
80632,503607961,2023-03-08,12
80659,503476255,2023-03-13,6
81151,503570620,2023-03-10,6
81202,500119035,2023-03-08,12
81235,504211976,2023-03-11,18
81286,500860070,2023-03-09,3
81342,504835316,2023-03-13,18
81427,502958106,2023-03-10,3
81470,505076951,2023-03-14,12
81545,503651375,2023-03-13,18
81591,502987028,2023-03-13,12
82033,477730740,2023-01-23,12
82052,476807639,2023-01-30,6
82059,477696877,2023-01-23,12
82062,477372870,2023-01-23,9
82284,477313222,2023-01-26,6
82374,479183626,2023-02-01,6
82433,478288151,2023-01-26,12
82436,478902801,2023-01-26,12
82618,496029592,2023-03-03,6
82752,495527523,2023-02-22,6
82843,492510632,2023-02-23,6
82888,496698117,2023-02-23,3
83029,496211053,2023-03-10,12
83048,496668390,2023-02-23,3
83081,496772767,2023-03-03,3
83104,497179652,2023-02-24,24
83123,497247438,2023-03-06,3
83146,496817802,2023-02-24,18
83442,496163263,2023-03-08,6
83448,481805817,2023-03-09,12
83520,492449306,2023-02-25,6
83532,497415723,2023-02-27,3
83712,481296648,2023-03-12,9
83718,317079647,2023-03-08,6
83780,498796873,2023-03-01,12
83790,495574751,2023-03-01,3
83799,491776396,2023-02-28,9
83800,491776396,2023-02-28,9
84181,498839425,2023-03-02,9
84210,500074416,2023-03-04,12
84368,497523901,2023-03-07,12
84398,501323408,2023-03-08,6
84413,500775888,2023-03-09,3
84468,500802462,2023-03-04,3
84498,488293091,2023-03-10,12
84500,502434399,2023-03-13,9
